"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;1;RUB;0.021427324346
01/07/2025;01/07/2025;"YouTube Official Content";"Czech Republic";thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;1;RUB;0.139364085626
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;3;RUB;0.064917896578
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;3;RUB;0.012600000039
01/09/2025;01/07/2025;TikTok;Belarus;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Creation;1;RUB;0.067899940593
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;14;RUB;0.299982540910
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;3;RUB;0.012600000039
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/07/2025;TikTok;Belarus;thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Creation;2;RUB;0.135799881186
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;4;RUB;0.086557195410
01/08/2025;01/07/2025;NetEase;"China Mainland";thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;2;RUB;0.067432600171
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;4;RUB;0.086557195410
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;10;RUB;0.214273243529
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;19;RUB;2.731983070062
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;4;RUB;0.085709297382
01/07/2025;01/07/2025;"YouTube Official Content";Spain;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;1;RUB;0.020350931075
01/07/2025;01/07/2025;"YouTube Official Content";Romania;thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;1;RUB;0.177652321950
01/08/2025;01/08/2025;"YouTube Official Content";Belarus;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;1;RUB;0.037310353667
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;5;RUB;0.108196494322
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;21;RUB;0.379800081106
01/07/2025;01/07/2025;"YouTube Official Content";Belarus;thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;1;RUB;0.010164096311
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;stupidaxou;"Болото, IGOTU";Болото;3617397980166;FR-X45-25-81559;;"Music Release";Stream;3;RUB;0.012600000038
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;42;RUB;0.249300020342
01/07/2025;01/07/2025;"YouTube Official Content";Belarus;thqlabel;stupidaxou;"Болото, IGOTU";IGOTU;3617397980166;FR-X45-25-81560;;"Music Release";Stream;1;RUB;0.019827946298
