"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"sunschn, warsy!";"New Russia";LAZER;3617667246022;DG-A0S-24-60522;;"Music Release";Stream;1;RUB;0.004200000039
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";"Stars Clique";"sunschn, warsy!";"New Russia";2025;3617667246022;DG-A0S-24-60524;;"Music Release";Stream;1;RUB;0.322405569168
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"sunschn, warsy!";"New Russia";"WHO IS REAL?";3617667246022;DG-A0S-24-60523;;"Music Release";Stream;3;RUB;0.065983710410
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"sunschn, warsy!";"New Russia";"Black Star Wear";3617667246022;DG-A0S-24-60526;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/08/2025;"Apple Music";France;"Stars Clique";"sunschn, warsy!";"New Russia";"Russaian Scene Clowns";3617667246022;DG-A0S-24-60521;;"Music Release";Stream;1;RUB;0.385842839426
01/07/2025;01/05/2025;"Facebook / Instagram";India;"Stars Clique";"sunschn, warsy!";"New Russia";"Russaian Scene Clowns";3617667246022;DG-A0S-24-60521;;"Music Release";Creation;20;RUB;0.285025693825
01/07/2025;01/04/2025;"Facebook / Instagram";Worldwide;"Stars Clique";"sunschn, warsy!";"New Russia";"Russaian Scene Clowns";3617667246022;DG-A0S-24-60521;;"Music Release";Creation;20;RUB;2.694332937078
01/08/2025;01/08/2025;"Apple Music";France;"Stars Clique";"sunschn, warsy!";"New Russia";LAZER;3617667246022;DG-A0S-24-60522;;"Music Release";Stream;1;RUB;0.385842839426
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"sunschn, warsy!";"New Russia";"Russaian Scene Clowns";3617667246022;DG-A0S-24-60521;;"Music Release";Stream;2;RUB;0.008400000000
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"sunschn, warsy!";"New Russia";"Music is... Intro";3617667246022;DG-A0S-24-60520;;"Music Release";Stream;4;RUB;0.087978280522
01/09/2025;01/07/2025;"Facebook / Instagram";Brazil;"Stars Clique";"sunschn, warsy!";"New Russia";"WHO IS REAL?";3617667246022;DG-A0S-24-60523;;"Music Release";Creation;5;RUB;0.572442191356
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"sunschn, warsy!";"New Russia";"Music is... Intro";3617667246022;DG-A0S-24-60520;;"Music Release";Stream;2;RUB;0.043278597666
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"sunschn, warsy!";"New Russia";LAZER;3617667246022;DG-A0S-24-60522;;"Music Release";Stream;1;RUB;0.011888797706
