"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;18;RUB;2.787972722682
01/09/2025;01/08/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;3;RUB;0.088476908090
01/08/2025;01/07/2025;"Ultimate Music";"China Mainland";"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;2;RUB;0.017755917792
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;6;RUB;0.025200000000
01/07/2025;01/06/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;5;RUB;0.021000000000
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;8;RUB;0.033600000000
01/09/2025;01/03/2025;JioSaavn;India;"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;1;RUB;0.027555875753
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;119;RUB;4.771652682806
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;3;RUB;0.065983710410
01/08/2025;01/03/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;1;RUB;0.341904154218
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"syndrome, kaourtney";"BRAZILIAN BOY";"BRAZILIAN BOY";3617225210410;DG-A06-23-74004;;"Music Release";Stream;127;RUB;5.004539500642
