"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;Kazakhstan;"Stars Clique";whited0lly.exe;euphoria;euphoria;3617399143491;FR-X76-25-72573;;"Music Release";Stream;15;RUB;0.218408538230
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";whited0lly.exe;"White Castle";"Buenos Dias Prod by Swertyside";5063466201621;RU-A1D-24-73601;;"Music Release";Stream;1;RUB;0.004200000038
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"Stars Clique";whited0lly.exe;desolator;desolator;3617666435847;DG-A0R-24-82676;;"Music Release";Stream;1;RUB;0.105813679974
01/09/2025;01/07/2025;"Facebook / Instagram";Kazakhstan;"Stars Clique";whited0lly.exe;"мне так нравится";"мне так нравится";3617390151174;FR-2X4-25-26420;;"Music Release";Creation;12;RUB;0.118432872477
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";"Stars Clique";whited0lly.exe;"White Castle";"R3d Prod by Parad1S";5063466201621;RU-A1D-24-73603;;"Music Release";Stream;2;RUB;0.000000194714
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";whited0lly.exe;"мне так нравится";"мне так нравится";3617390151174;FR-2X4-25-26420;;"Music Release";Stream;1;RUB;9.129736769161
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";whited0lly.exe;anorexia;зеркало;3617664670523;DG-A0P-24-48911;;"Music Release";Stream;2;RUB;0.299411326852
01/09/2025;01/07/2025;"Facebook / Instagram";"Russian Federation";"Stars Clique";whited0lly.exe;"мне так нравится";"мне так нравится";3617390151174;FR-2X4-25-26420;;"Music Release";Creation;18;RUB;0.487835323737
01/09/2025;01/09/2025;"YouTube UGC";Bulgaria;"Stars Clique";whited0lly.exe;anorexia;"для других";3617664670523;DG-A0P-24-48909;;"Music Release";Stream;1;RUB;0.049865457905
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";whited0lly.exe;"White Castle";"Мечта Skit";5063466201621;RU-A1D-24-73602;;"Music Release";Stream;14;RUB;0.302950183976
01/09/2025;01/09/2025;"YouTube Official Content";Malaysia;"Stars Clique";whited0lly.exe;Альбина;"Альбина RIP Yung Trappa";3618020411972;FR-X87-25-75448;;"Music Release";Stream;40;RUB;0.245313468770
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";whited0lly.exe;"White Castle";"Мечта Skit";5063466201621;RU-A1D-24-73602;;"Music Release";Stream;17;RUB;0.364264513946
