"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"когда я это делал";3617396043190;FR-X28-25-33170;;"Music Release";Stream;88;RUB;1.900892669838
01/08/2025;01/08/2025;"Apple Music";Ukraine;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"вампиры средней полосы";3617396043190;FR-X28-25-33171;;"Music Release";Stream;2;RUB;0.353064360476
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"i luv";3617396043190;FR-X28-25-33173;;"Music Release";Stream;67;RUB;1.303163914875
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"закрой глаза";3617396043190;FR-X28-25-33176;;"Music Release";Stream;3;RUB;0.012297528236
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;shame;3617396043190;FR-X28-25-33169;;"Music Release";Stream;2;RUB;0.299411326852
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"вампиры средней полосы";3617396043190;FR-X28-25-33171;;"Music Release";Stream;186;RUB;3.989515939035
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"когда я это делал";3617396043190;FR-X28-25-33170;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"вампиры средней полосы";3617396043190;FR-X28-25-33171;;"Music Release";Stream;6;RUB;0.340159062956
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;танцуй;3617396043190;FR-X28-25-33175;;"Music Release";Stream;447;RUB;9.558171570479
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;shame;3617396043190;FR-X28-25-33169;;"Music Release";Stream;225;RUB;4.803543925319
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;эй!;3617396043190;FR-X28-25-33172;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;танцуй;3617396043190;FR-X28-25-33175;;"Music Release";Stream;33;RUB;2.135389389891
01/09/2025;01/09/2025;"Apple Music";Ukraine;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"когда я это делал";3617396043190;FR-X28-25-33170;;"Music Release";Stream;35;RUB;6.368108270050
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"когда я это делал";3617396043190;FR-X28-25-33170;;"Music Release";Stream;94;RUB;4.683828673664
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"вампиры средней полосы";3617396043190;FR-X28-25-33171;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;эй!;3617396043190;FR-X28-25-33172;;"Music Release";Stream;53;RUB;9.137543728295
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;эй!;3617396043190;FR-X28-25-33172;;"Music Release";Stream;2;RUB;0.008400000000
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"когда я это делал";3617396043190;FR-X28-25-33170;;"Music Release";Stream;3;RUB;0.065983710410
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"когда я это делал";3617396043190;FR-X28-25-33170;;"Music Release";Stream;13;RUB;0.000090313481
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"i luv";3617396043190;FR-X28-25-33173;;"Music Release";Stream;1;RUB;0.000076827482
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"вампиры средней полосы";3617396043190;FR-X28-25-33171;;"Music Release";Stream;108;RUB;1.624954471435
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"попадают в рай";3617396043190;FR-X28-25-33174;;"Music Release";Stream;137;RUB;6.722329259919
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;танцуй;3617396043190;FR-X28-25-33175;;"Music Release";Stream;18;RUB;0.358278078488
01/09/2025;01/08/2025;Yandex;Belarus;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"i luv";3617396043190;FR-X28-25-33173;;"Music Release";Stream;3;RUB;0.064917896578
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"i luv";3617396043190;FR-X28-25-33173;;"Music Release";Stream;111;RUB;2.435673006479
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"закрой глаза";3617396043190;FR-X28-25-33176;;"Music Release";Stream;116;RUB;2.403977722717
01/09/2025;01/08/2025;"Facebook / Instagram";France;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;shame;3617396043190;FR-X28-25-33169;;"Music Release";Stream;1;RUB;0.008780890722
01/09/2025;01/07/2025;SberZvuk;"United States";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"когда я это делал";3617396043190;FR-X28-25-33170;;"Music Release";Stream;1;RUB;0.000006947257
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;shame;3617396043190;FR-X28-25-33169;;"Music Release";Stream;456;RUB;10.001544221039
01/08/2025;01/07/2025;Yandex;Belarus;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;shame;3617396043190;FR-X28-25-33169;;"Music Release";Stream;2;RUB;0.042854648691
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"whited0lly.exe, Cherry Emotional";мортуарий;"i luv";3617396043190;FR-X28-25-33173;;"Music Release";Stream;8;RUB;0.157144469095
