"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"She Does Not Now";3617226648199;DG-A08-23-36927;;"Music Release";Stream;2;RUB;0.043989140298
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;3;RUB;0.064281973111
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;1;RUB;0.015296733762
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;1;RUB;0.021639298911
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;10;RUB;0.219945701342
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;1;RUB;0.000006947257
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;1;RUB;0.000000097358
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;2;RUB;0.042854648691
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;1;RUB;0.104536320026
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;5;RUB;0.109972850708
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;11;RUB;0.241940271527
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;12;RUB;0.263934841640
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/08/2025;"Apple Music";Spain;"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;1;RUB;0.222858360897
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"She Does Not Now";3617226648199;DG-A08-23-36927;;"Music Release";Stream;1;RUB;0.000529859523
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;1;RUB;0.006558376237
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;1;RUB;0.042996782966
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;1;RUB;0.003942474724
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;1;RUB;0.000970217214
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"yungkriket, molodoyeblan";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;1;RUB;0.104536320026
