"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/11/2024;Spotify;Indonesia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";2;RUB;-0.006184954706
01/11/2024;01/11/2024;"Apple Music";"Russian Federation";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;60;RUB;4.430773200089
01/10/2024;01/09/2024;Spotify;Romania;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;2;RUB;0.026557941507
01/12/2024;01/11/2024;Spotify;Kazakhstan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";33;RUB;-0.544857426934
01/11/2024;01/10/2024;Spotify;Ukraine;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;395;RUB;8.758438285428
01/11/2024;01/10/2024;Yandex;Kazakhstan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;185;RUB;2.539363583356
01/10/2024;01/10/2024;"Apple Music";Poland;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;3;RUB;0.465250474040
01/11/2024;01/10/2024;"UMA VK MUSIC";"Russian Federation";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;356;RUB;36.942585079118
01/12/2024;01/11/2024;Soundcloud;Netherlands;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;21;RUB;4.378818856646
01/11/2024;01/10/2024;Spotify;Canada;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;2;RUB;0.107785600024
01/11/2024;01/10/2024;Spotify;Denmark;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;3;RUB;0.044624611460
01/12/2024;01/11/2024;Spotify;Philippines;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.005674498024
01/11/2024;01/10/2024;Spotify;Nigeria;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;33;RUB;0.405626298485
01/12/2024;01/11/2024;Spotify;Thailand;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.002605636861
01/12/2024;01/11/2024;Spotify;Egypt;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;17;RUB;0.429061541147
01/10/2024;01/10/2024;"YouTube Official Content";Turkey;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;8;RUB;0.148665851719
01/12/2024;01/11/2024;"UMA (Vkontakte)";Azerbaijan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.004200000000
01/12/2024;01/12/2024;"YouTube Official Content";Italy;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;5;RUB;0.430083501889
01/12/2024;01/11/2024;Spotify;Israel;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";10;RUB;-0.342019781300
01/11/2024;01/11/2024;"Apple Music";Ukraine;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;24;RUB;2.635905830570
01/12/2024;01/11/2024;Spotify;Indonesia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;4;RUB;0.034278600426
01/11/2024;01/09/2024;"Facebook / Instagram";Poland;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Creation;6;RUB;0.296490773840
01/12/2024;01/11/2024;Soundcloud;Germany;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;3;RUB;0.625545550962
01/12/2024;01/11/2024;Spotify;"United States";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;167;RUB;32.133292813654
01/10/2024;01/09/2024;Spotify;Spain;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;21;RUB;0.368337335360
01/12/2024;01/11/2024;Yandex;Belarus;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;201;RUB;3.702522060798
01/12/2024;01/11/2024;Spotify;Singapore;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;2;RUB;0.026751205020
01/11/2024;01/11/2024;"Apple Music";Kazakhstan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.099204778180
01/12/2024;01/11/2024;Soundcloud;Denmark;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;2;RUB;0.417030367308
01/12/2024;01/11/2024;Spotify;Netherlands;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";33;RUB;-0.993941197030
01/12/2024;01/11/2024;Spotify;Australia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;2;RUB;0.217425919746
01/12/2024;01/11/2024;Spotify;"Serbia And Montenegro";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.153558865245
01/12/2024;01/11/2024;Spotify;Turkey;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;157;RUB;2.673615042515
01/10/2024;01/09/2024;Spotify;Hungary;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.163605884517
01/10/2024;01/09/2024;Yandex;"Moldova, Republic Of";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;39;RUB;0.424659586062
01/12/2024;01/11/2024;Spotify;Bulgaria;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";1;RUB;-0.001988390411
01/10/2024;01/09/2024;Spotify;Germany;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;653;RUB;55.241750100275
01/10/2024;01/09/2024;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;47;RUB;1.633964044161
01/11/2024;01/10/2024;Spotify;"Serbia And Montenegro";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.123404213894
01/11/2024;01/10/2024;Spotify;Finland;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;6;RUB;0.296181555661
01/12/2024;01/11/2024;Spotify;Japan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";9;RUB;-0.057301081166
01/11/2024;01/10/2024;Spotify;India;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;78;RUB;2.119783402176
01/12/2024;01/11/2024;Spotify;Nigeria;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;54;RUB;0.710238732531
01/12/2024;01/11/2024;Spotify;Israel;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;38;RUB;7.020917421375
01/12/2024;01/11/2024;Spotify;Canada;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;13;RUB;2.058568921179
01/12/2024;01/11/2024;Spotify;Germany;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;126;RUB;12.613308976854
01/11/2024;01/10/2024;Spotify;Israel;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;53;RUB;13.007673841718
01/10/2024;01/09/2024;Spotify;Uzbekistan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;10;RUB;0.002353235331
01/10/2024;01/09/2024;Spotify;Japan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;8;RUB;0.781162057862
01/10/2024;01/09/2024;Yandex;Kyrgyzstan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;31;RUB;0.401117425813
01/12/2024;01/11/2024;Spotify;Estonia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;13;RUB;1.712540346897
01/12/2024;01/11/2024;Spotify;France;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;221;RUB;9.633733795631
01/11/2024;01/10/2024;Spotify;Germany;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;291;RUB;28.731155611985
01/12/2024;01/11/2024;Spotify;Belarus;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;186;RUB;12.147768322751
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Moldova, Republic Of";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;12;RUB;0.050400000000
01/12/2024;01/11/2024;Spotify;Portugal;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.078748136014
01/11/2024;01/11/2024;"Apple Music";"Moldova, Republic Of";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.082721889509
01/11/2024;01/10/2024;"Facebook / Instagram";Ukraine;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.001572342438
01/11/2024;01/10/2024;Spotify;Italy;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;2;RUB;0.643566992376
01/11/2024;01/09/2024;"Facebook / Instagram";Spain;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Creation;6;RUB;0.379171921422
01/12/2024;01/11/2024;Spotify;Australia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";2;RUB;-0.151575686108
01/12/2024;01/11/2024;Yandex;Georgia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;4;RUB;0.136415542624
01/10/2024;01/09/2024;"UMA (Vkontakte)";Belarus;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;81;RUB;1.565644446144
01/10/2024;01/09/2024;Spotify;Ireland;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;18;RUB;1.194827199198
01/12/2024;01/11/2024;Spotify;Latvia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";10;RUB;-0.282237802927
01/12/2024;01/11/2024;Spotify;Uzbekistan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;4;RUB;0.000057903070
01/12/2024;01/11/2024;Spotify;Hungary;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";2;RUB;-0.050599151605
01/11/2024;01/09/2024;SberZvuk;"Russian Federation";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.328616944437
01/12/2024;01/11/2024;Spotify;Brazil;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;3;RUB;0.397272765797
01/12/2024;01/11/2024;Spotify;Slovenia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.094787278499
01/11/2024;01/11/2024;"Apple Music";"Korea, Republic Of";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.286393961346
01/10/2024;01/09/2024;Spotify;Lithuania;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;19;RUB;1.025562355210
01/11/2024;01/10/2024;Spotify;Netherlands;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;39;RUB;5.884670405751
01/12/2024;01/11/2024;Spotify;Mexico;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.056397562166
01/10/2024;01/09/2024;Spotify;Sweden;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;26;RUB;1.647656883077
01/12/2024;01/11/2024;Yandex;Turkmenistan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;8;RUB;0.272831085161
01/12/2024;01/11/2024;Yandex;Uzbekistan;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;16;RUB;0.356176112998
01/11/2024;01/10/2024;Yandex;Armenia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.013120678551
01/12/2024;01/11/2024;Spotify;Switzerland;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";"Platform Promotion";3;RUB;-0.281780683198
01/11/2024;01/08/2024;SberZvuk;"Russian Federation";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;5;RUB;1.545864834626
01/10/2024;01/09/2024;Spotify;"Hong Kong";"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.294938827438
01/10/2024;01/09/2024;"UMA (Vkontakte)";Armenia;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;Spotify;Belarus;"Stars Clique";6wounds;покой;покой;3617661758590;DG-A09-24-10208;;"Music Release";Stream;257;RUB;8.297676085141
