"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/10/2024;"Facebook / Instagram";Canada;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001183204412
01/10/2024;01/09/2024;"Facebook / Instagram";Taiwan;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001186086580
01/12/2024;01/11/2024;"Facebook / Instagram";Venezuela;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001243815260
01/11/2024;01/10/2024;"Facebook / Instagram";Venezuela;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;2;RUB;0.002366408824
01/12/2024;01/11/2024;"Facebook / Instagram";Germany;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001243815260
01/11/2024;01/11/2024;"YouTube UGC";Mexico;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;4;RUB;0.329428903662
01/11/2024;01/10/2024;"Facebook / Instagram";"United Arab Emirates";"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001183204412
01/10/2024;01/09/2024;"Facebook / Instagram";"Czech Republic";"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001186086580
01/12/2024;01/11/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Двигаюсь;3617223755289;DG-A05-23-43947;;"Music Release";Stream;1;RUB;0.004200000000
01/12/2024;01/11/2024;"Facebook / Instagram";Portugal;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001673594823
01/10/2024;01/10/2024;"YouTube UGC";France;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.004443228429
01/10/2024;01/09/2024;"Facebook / Instagram";Hungary;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001186086580
01/12/2024;01/11/2024;"Facebook / Instagram";Iraq;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;11;RUB;0.018409542363
01/11/2024;01/10/2024;"Facebook / Instagram";Peru;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;3;RUB;0.003938751262
01/12/2024;01/11/2024;"Facebook / Instagram";"Russian Federation";"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;2;RUB;0.002917410084
01/12/2024;01/11/2024;"Facebook / Instagram";Switzerland;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001673594823
01/12/2024;01/11/2024;"Facebook / Instagram";Spain;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001673594823
01/10/2024;01/09/2024;"Facebook / Instagram";Switzerland;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001634551714
01/11/2024;01/10/2024;"Facebook / Instagram";Romania;"трэп хаус квэльчиков";BDT;"BDT LSD Weekend";Поменял;3617223755289;DG-A05-23-43944;;"Music Release";Stream;1;RUB;0.001572342438
