"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/06/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;1;RUB;0.377626560654
01/11/2024;01/03/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;1;RUB;0.347112524176
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";Пиво;3617052142380;FR-X87-22-91809;;"Music Release";Stream;1;RUB;0.004200000042
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";Пиво;3617052142380;FR-X87-22-91809;;"Music Release";Stream;1;RUB;0.016877880402
01/12/2024;01/11/2024;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;1;RUB;0.001139622356
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";Пиво;3617052142380;FR-X87-22-91809;;"Music Release";Stream;2;RUB;0.031829949332
01/11/2024;01/06/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";Пиво;3617052142380;FR-X87-22-91809;;"Music Release";Stream;1;RUB;0.377626560654
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;6;RUB;0.101267282582
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;1;RUB;0.052519357362
01/12/2024;01/12/2024;"YouTube Official Content";Colombia;"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";Пиво;3617052142380;FR-X87-22-91809;;"Music Release";Stream;1;RUB;0.013020163982
01/12/2024;01/12/2024;"YouTube Official Content";France;"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";Пиво;3617052142380;FR-X87-22-91809;;"Music Release";Stream;1;RUB;0.005703787467
01/10/2024;01/09/2024;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;8;RUB;0.006687597042
01/11/2024;01/10/2024;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;5;RUB;0.004303849495
01/10/2024;01/09/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";Пиво;3617052142380;FR-X87-22-91809;;"Music Release";Stream;1;RUB;0.004200000042
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, DOLLARDOLLY";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Времени навалом";3617052142380;FR-X87-22-91805;;"Music Release";Stream;1;RUB;0.076217639641
