"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;1;RUB;0.015914974666
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;1;RUB;0.004200000043
01/11/2024;01/06/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;2;RUB;0.755253121395
01/11/2024;01/08/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;1;RUB;0.309172966926
01/11/2024;01/10/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;1;RUB;0.004200000043
01/11/2024;01/07/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;1;RUB;0.348189135151
01/12/2024;01/11/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;1;RUB;0.177270037695
01/12/2024;01/11/2024;Yandex;Kazakhstan;"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;1;RUB;0.016877880402
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;2;RUB;0.008400000000
01/10/2024;01/09/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"BULAT, MC Politach";"ХВАТИТ УДАЛЯТЬ МОИ ТРЕКИ!!!";"Лаф стори";3617052142380;FR-X87-22-91803;;"Music Release";Stream;4;RUB;0.372523422823
