"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/11/2024;"UMA VK MUSIC";"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;1;RUB;0.111840112216
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";D.Rayd;decomposition;decomposition;3617053574005;DG-A07-22-20118;;"Music Release";Stream;5;RUB;0.451560448864
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";D.Rayd;"по таким, как я, не плачут";"по таким, как я, не плачут";5060959150985;RU-AGY-23-00089;;"Music Release";Stream;6;RUB;0.463086305501
01/12/2024;01/11/2024;Yandex;"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;16;RUB;0.270046086942
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";D.Rayd;"по таким, как я, не плачут";"по таким, как я, не плачут";5060959150985;RU-AGY-23-00089;;"Music Release";Stream;1;RUB;0.004384126083
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;1;RUB;0.004200000000
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";D.Rayd;"по таким, как я, не плачут";"по таким, как я, не плачут";5060959150985;RU-AGY-23-00089;;"Music Release";Stream;6;RUB;0.336206738867
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";D.Rayd;"по таким, как я, не плачут";"по таким, как я, не плачут";5060959150985;RU-AGY-23-00089;;"Music Release";Stream;6;RUB;0.455760448864
01/11/2024;01/10/2024;Yandex;"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;86;RUB;1.128378358951
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";D.Rayd;decomposition;decomposition;3617053574005;DG-A07-22-20118;;"Music Release";Stream;10;RUB;0.479886305501
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;12;RUB;0.050400000000
01/10/2024;01/09/2024;"UMA VK MUSIC";"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;1;RUB;0.107868912942
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";D.Rayd;decomposition;decomposition;3617053574005;DG-A07-22-20118;;"Music Release";Stream;11;RUB;0.357206738826
01/10/2024;01/09/2024;Yandex;"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;4;RUB;0.063659898580
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;D.Rayd;прости;прости;3617389554528;DG-A05-24-82749;;"Music Release";Stream;6;RUB;0.025200000000
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";D.Rayd;"по таким, как я, не плачут";"по таким, как я, не плачут";5060959150985;RU-AGY-23-00089;;"Music Release";Stream;3;RUB;0.050633641290
01/12/2024;01/11/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";D.Rayd;decomposition;decomposition;3617053574005;DG-A07-22-20118;;"Music Release";Stream;3;RUB;0.335520336648
