"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/10/2024;Spotify;Germany;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;4;RUB;0.281707162486
01/11/2024;01/10/2024;Spotify;Mexico;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;1;RUB;0.056009608451
01/11/2024;01/10/2024;Spotify;Poland;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;15;RUB;0.971729519588
01/10/2024;01/09/2024;Spotify;Finland;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;18;RUB;0.313652651203
01/12/2024;01/11/2024;Yandex;Kazakhstan;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;3;RUB;0.050633641290
01/12/2024;01/12/2024;"YouTube UGC";Ukraine;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;1;RUB;0.002617439788
01/10/2024;01/09/2024;Spotify;Norway;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;15;RUB;3.294361400469
01/11/2024;01/10/2024;Spotify;Italy;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;1;RUB;0.035528056030
01/10/2024;01/09/2024;Spotify;Egypt;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;3;RUB;0.117941918958
01/10/2024;01/09/2024;Spotify;India;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;10;RUB;0.482973552534
01/10/2024;01/09/2024;"UMA VK MUSIC";Kazakhstan;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;1;RUB;0.076028202265
01/12/2024;01/11/2024;Spotify;"Korea, Republic Of";"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;2;RUB;0.237576178138
01/10/2024;01/09/2024;Spotify;"Moldova, Republic Of";"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;1;RUB;0.001904999974
01/10/2024;01/09/2024;Spotify;Latvia;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;10;RUB;1.307894564720
01/11/2024;01/10/2024;Spotify;"Korea, Republic Of";"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;1;RUB;0.119456652189
01/10/2024;01/09/2024;Spotify;Nigeria;"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;1;RUB;0.013391029593
01/11/2024;01/10/2024;Spotify;"United States";"трэп хаус квэльчиков";"DRUGPY, oxidative";Никотин;Никотин;4680961092540;UK-EX3-21-35919;;"Music Release";Stream;36;RUB;6.151674324951
