"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Большие Жопы";3617220503012;FR-X76-23-24012;;"Music Release";Stream;46;RUB;0.603551215259
01/10/2024;01/09/2024;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Панк Секси Фроузен Интро";3617220503012;FR-X76-23-24000;;"Music Release";Stream;4;RUB;0.003343798479
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Называй Меня Папочка";3617220503012;FR-X76-23-24007;;"Music Release";Stream;1;RUB;0.016877880402
01/10/2024;01/10/2024;"YouTube Official Content";Sweden;"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Большие Жопы";3617220503012;FR-X76-23-24012;;"Music Release";Stream;1;RUB;0.143960599865
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";Jerk-Cemetery;Джерк-Стар;3617223230601;FR-X87-23-97890;;"Music Release";Stream;15;RUB;0.336720464933
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Называй Меня Папочка";3617220503012;FR-X76-23-24007;;"Music Release";Stream;1;RUB;0.015914974666
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";Jerk-Cemetery;"Хозяин кладбища";3617223230601;FR-X87-23-97888;;"Music Release";Stream;3;RUB;0.120240112216
01/11/2024;01/11/2024;"YouTube Official Content";Belarus;"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Большие Жопы";3617220503012;FR-X76-23-24012;;"Music Release";Stream;2;RUB;0.148691401889
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";Ночью;3617220503012;FR-X76-23-24006;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";Jerk-Cemetery;"Хозяин кладбища";3617223230601;FR-X87-23-97888;;"Music Release";Stream;6;RUB;0.025200000000
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"На Могилу";3617220503012;FR-X76-23-24013;;"Music Release";Stream;1;RUB;0.050040621212
01/10/2024;01/10/2024;"YouTube Official Content";Azerbaijan;"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Большие Жопы";3617220503012;FR-X76-23-24012;;"Music Release";Stream;1;RUB;0.072563473627
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Называй Меня Папочка";3617220503012;FR-X76-23-24007;;"Music Release";Stream;2;RUB;0.026241357189
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Большие Жопы";3617220503012;FR-X76-23-24012;;"Music Release";Stream;43;RUB;0.742974863769
01/11/2024;01/11/2024;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Большие Жопы";3617220503012;FR-X76-23-24012;;"Music Release";Stream;2;RUB;10.060600427152
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";Нарциссист;3617220503012;FR-X76-23-24002;;"Music Release";Stream;1;RUB;0.015914974666
01/10/2024;01/09/2024;Yandex;Kazakhstan;"трэп хаус квэльчиков";"Daddy Rozen";"PUNK SEXY FROZEN";"Большие Жопы";3617220503012;FR-X76-23-24012;;"Music Release";Stream;3;RUB;0.047744923914
01/11/2024;01/10/2024;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";"Daddy Rozen";Jerk-Cemetery;Джерк-Стар;3617223230601;FR-X87-23-97890;;"Music Release";Stream;2;RUB;0.008400000000
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Daddy Rozen";Jerk-Cemetery;Джерк-Стар;3617223230601;FR-X87-23-97890;;"Music Release";Stream;14;RUB;0.144235901841
