"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/11/2024;"Amazon Music Streaming";Italy;"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;1;RUB;0.098435170105
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;67;RUB;0.891534137162
01/11/2024;01/10/2024;Yandex;Belarus;"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;3;RUB;0.039362035826
01/11/2024;01/10/2024;"Amazon Music Streaming";Chile;"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;4;RUB;1.018334984858
01/10/2024;01/09/2024;"Amazon Music Streaming";Japan;"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;3;RUB;0.327143584209
01/10/2024;01/09/2024;"Amazon Music Streaming";"Costa Rica";"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;1;RUB;0.283743962197
01/11/2024;01/10/2024;Yandex;Kazakhstan;"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;1;RUB;0.013120678551
01/11/2024;01/10/2024;"Amazon Music Streaming";"United Kingdom";"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;2;RUB;1.020314673109
01/10/2024;01/09/2024;"Amazon Music Streaming";"United States";"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;1;RUB;0.698826129233
01/11/2024;01/10/2024;"Amazon Music Streaming";Spain;"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;1;RUB;0.096216898268
01/10/2024;01/09/2024;Yandex;Kyrgyzstan;"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;2;RUB;0.031829949332
01/11/2024;01/05/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Devil May Cry";звёзды;звёзды;3617221284286;FR-X87-23-04671;;"Music Release";Stream;1;RUB;0.336706189713
