"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/11/2024;"YouTube Official Content";Poland;"Million dollar music";"Ecsta, SEMPAI";Miss;"Танцуй Bonus";3617664702279;DG-A0P-24-51927;;"Music Release";Stream;7;RUB;0.588742409364
01/11/2024;01/11/2024;"YouTube Official Content";Ukraine;"Million dollar music";"Ecsta, SEMPAI";"Нашла / Money";"Нашла / Money";3617663937788;DG-A0L-24-54436;;"Music Release";Stream;2;RUB;0.222855080930
01/11/2024;01/11/2024;"YouTube Official Content";Sweden;"Million dollar music";"Ecsta, SEMPAI";Miss;"Танцуй Bonus";3617664702279;DG-A0P-24-51927;;"Music Release";Stream;3;RUB;0.013089031807
01/10/2024;01/09/2024;"UMA (Vkontakte)";Ukraine;"Million dollar music";"Ecsta, SEMPAI";"Нашла / Money";"Нашла / Money";3617663937788;DG-A0L-24-54436;;"Music Release";Stream;1;RUB;0.004200000042
01/11/2024;01/11/2024;"YouTube Official Content";"Czech Republic";"Million dollar music";"Ecsta, SEMPAI";Miss;Россия;3617664702279;DG-A0P-24-51926;;"Music Release";Stream;2;RUB;0.018760945655
01/12/2024;01/11/2024;Yandex;Kyrgyzstan;"Million dollar music";"Ecsta, SEMPAI";Miss;"Chivas Cola Intro";3617664702279;DG-A0P-24-51922;;"Music Release";Stream;1;RUB;0.016877880402
01/11/2024;01/11/2024;"YouTube Official Content";Israel;"Million dollar music";"Ecsta, SEMPAI";Miss;Кебаб;3617664702279;DG-A0P-24-51924;;"Music Release";Stream;1;RUB;0.036823809633
01/12/2024;01/11/2024;Yandex;Kazakhstan;"Million dollar music";"Ecsta, SEMPAI";Miss;Россия;3617664702279;DG-A0P-24-51926;;"Music Release";Stream;6;RUB;0.101267282582
01/10/2024;01/09/2024;Yandex;Uzbekistan;"Million dollar music";"Ecsta, SEMPAI";"Нашла / Money";"Нашла / Money";3617663937788;DG-A0L-24-54436;;"Music Release";Stream;4;RUB;0.063659898580
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"Ecsta, SEMPAI";Miss;Кебаб;3617664702279;DG-A0P-24-51924;;"Music Release";Stream;238;RUB;11.289862444434
