"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";"ОПЕР ЗА РУЛЕМ";3617051639485;FR-X87-22-09158;;"Music Release";Stream;52;RUB;0.218400000000
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";"ОПЕР ЗА РУЛЕМ";3617051639485;FR-X87-22-09158;;"Music Release";Stream;24;RUB;0.327344957730
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";Отпускай;Отпускай;3617057117420;FR-96X-23-32084;;"Music Release";Stream;29;RUB;0.489458532506
01/12/2024;01/11/2024;"HITTER - Beeline Kazakhstan";Kazakhstan;"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";"ОПЕР ЗА РУЛЕМ";3617051639485;FR-X87-22-09158;;"Music Release";Stream;5;RUB;2.915432572893
01/12/2024;01/11/2024;Yandex;Belarus;"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";MELATONIN;3617051639485;FR-X28-22-54579;;"Music Release";Stream;12;RUB;0.271438586094
01/10/2024;01/09/2024;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";MELATONIN;3617051639485;FR-X28-22-54579;;"Music Release";Stream;2;RUB;0.008400000000
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";"ОПЕР ЗА РУЛЕМ";3617051639485;FR-X87-22-09158;;"Music Release";Stream;16;RUB;0.519258058594
01/10/2024;01/09/2024;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";MELATONIN;3617051639485;FR-X28-22-54579;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";Отпускай;Отпускай;3617057117420;FR-96X-23-32084;;"Music Release";Stream;14;RUB;0.162468912984
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";MELATONIN;MELATONIN;3616849269262;FR-X28-22-54579;;"Music Release";Stream;19;RUB;0.510360448864
01/11/2024;01/10/2024;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";MELATONIN;3617051639485;FR-X28-22-54579;;"Music Release";Stream;3;RUB;0.012600000043
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";Отпускай;Отпускай;3617057117420;FR-96X-23-32084;;"Music Release";Stream;13;RUB;0.164071576332
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";MELATONIN;3617051639485;FR-X28-22-54579;;"Music Release";Stream;1281;RUB;19.556861437932
01/10/2024;01/10/2024;"YouTube Official Content";Finland;"трэп хаус квэльчиков";"Hishinar, SpeeKi";Отпускай;Отпускай;3617057117420;FR-96X-23-32084;;"Music Release";Stream;1;RUB;0.018272776786
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";MELATONIN;3617051639485;FR-X28-22-54579;;"Music Release";Stream;167;RUB;5.015773303166
01/10/2024;01/09/2024;Yandex;Belarus;"трэп хаус квэльчиков";"Hishinar, SpeeKi";"PSYCHO BRAIN";MELATONIN;3617051639485;FR-X28-22-54579;;"Music Release";Stream;16;RUB;0.185454503158
