"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/10/2024;"Apple Music";Ukraine;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;1;RUB;0.128512069807
01/12/2024;01/11/2024;Yandex;Kazakhstan;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;4;RUB;0.067511521778
01/10/2024;01/09/2024;Yandex;Kazakhstan;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;15;RUB;0.238724619821
01/12/2024;01/12/2024;"YouTube Official Content";Ukraine;thqlabel;"Hustle Kali";blat;blat;5063316767857;RU-A1D-24-03442;;"Music Release";Stream;1;RUB;0.009197730577
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;9;RUB;0.650955065350
01/11/2024;01/10/2024;"UMA (Vkontakte)";Kazakhstan;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;1;RUB;0.004200000043
01/11/2024;01/09/2024;Deezer;Germany;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;1;RUB;0.226436016953
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;8;RUB;0.141240112216
01/11/2024;01/07/2024;"HITTER - Beeline Kazakhstan";Kazakhstan;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;54;RUB;43.349483048418
01/11/2024;01/10/2024;Yandex;"Russian Federation";thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;9;RUB;0.118086107307
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;5;RUB;0.254114905800
01/11/2024;01/08/2024;"HITTER - Beeline Kazakhstan";Kazakhstan;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;4;RUB;2.250443181263
01/10/2024;01/09/2024;"UMA (Vkontakte)";Kazakhstan;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;1;RUB;0.004200000042
01/12/2024;01/11/2024;Yandex;"Russian Federation";thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;13;RUB;0.219412445650
01/10/2024;01/09/2024;Yandex;"Russian Federation";thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;3;RUB;0.047744923914
01/11/2024;01/10/2024;Yandex;Kazakhstan;thqlabel;"Hustle Kali";"you don't understand me";"you don't understand me";3617389477421;DG-A05-24-59957;;"Music Release";Stream;1;RUB;0.013120678551
