"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;Spotify;Belgium;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;4;RUB;0.833381481677
01/10/2024;01/09/2024;Spotify;Chile;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;12;RUB;0.404644428201
01/10/2024;01/09/2024;Spotify;Belarus;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.093457060116
01/10/2024;01/09/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";ИНФИ;ПОРЕЗЫ;ПОРЕЗЫ;3617054811963;DG-A09-22-10303;;"Music Release";Stream;9;RUB;0.970820216393
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ИНФИ;еще!;еще!;3617225170516;DG-A06-23-70936;;"Music Release";Stream;6;RUB;0.095489847912
01/10/2024;01/09/2024;Spotify;Germany;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;111;RUB;19.807181607449
01/12/2024;01/11/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";ИНФИ;тоска;тоска;3617227011152;DG-A08-23-79806;;"Music Release";Stream;1;RUB;0.004200000000
01/10/2024;01/09/2024;Spotify;Switzerland;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;9;RUB;2.987656362675
01/11/2024;01/10/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";ИНФИ;еще!;еще!;3617225170516;DG-A06-23-70936;;"Music Release";Stream;2;RUB;0.008400000000
01/10/2024;01/09/2024;"Tencent Kuwo";"China Mainland";"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.102991774728
01/10/2024;01/09/2024;Spotify;Qatar;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.010421470751
01/12/2024;01/11/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";ИНФИ;еще!;еще!;3617225170516;DG-A06-23-70936;;"Music Release";Stream;1;RUB;0.004200000000
01/12/2024;01/11/2024;"HITTER - Beeline Kazakhstan";Kazakhstan;"трэп хаус квэльчиков";ИНФИ;еще!;еще!;3617225170516;DG-A06-23-70936;;"Music Release";Stream;1;RUB;0.583086514614
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ИНФИ;ПОРЕЗЫ;ПОРЕЗЫ;3617054811963;DG-A09-22-10303;;"Music Release";Stream;2;RUB;0.031829949332
01/10/2024;01/09/2024;"Amazon Music Streaming";France;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;5;RUB;2.138642680755
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Moldova, Republic Of";"трэп хаус квэльчиков";ИНФИ;ПОРЕЗЫ;ПОРЕЗЫ;3617054811963;DG-A09-22-10303;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;Spotify;Ireland;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;2;RUB;0.323233680765
01/10/2024;01/09/2024;Spotify;"Korea, Republic Of";"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.198120002563
01/10/2024;01/08/2024;Deezer;France;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;4;RUB;1.773686742860
01/10/2024;01/09/2024;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";ИНФИ;еще!;еще!;3617225170516;DG-A06-23-70936;;"Music Release";Stream;12;RUB;0.050400000000
01/11/2024;01/09/2024;Deezer;"United Kingdom";"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.609492411434
01/11/2024;01/10/2024;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";ИНФИ;ПОРЕЗЫ;ПОРЕЗЫ;3617054811963;DG-A09-22-10303;;"Music Release";Stream;2;RUB;0.008400000000
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";ИНФИ;ПОРЕЗЫ;ПОРЕЗЫ;3617054811963;DG-A09-22-10303;;"Music Release";Stream;181;RUB;2.907807742354
01/10/2024;01/09/2024;Soundcloud;Sweden;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;11;RUB;2.041232867974
01/10/2024;01/09/2024;Spotify;France;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;117;RUB;13.872546336191
01/11/2024;01/10/2024;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";ИНФИ;ПОРЕЗЫ;ПОРЕЗЫ;3617054811963;DG-A09-22-10303;;"Music Release";Stream;1;RUB;0.004200000043
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ИНФИ;еще!;еще!;3617225170516;DG-A06-23-70936;;"Music Release";Stream;4;RUB;0.052482714378
01/10/2024;01/09/2024;"Amazon Music Streaming";Germany;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.240086032603
01/10/2024;01/09/2024;Spotify;"El Salvador";"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;6;RUB;0.290624562692
01/10/2024;01/09/2024;Spotify;Lithuania;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;3;RUB;0.456807800134
01/10/2024;01/09/2024;Spotify;"Moldova, Republic Of";"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.001904999974
01/10/2024;01/09/2024;Spotify;Denmark;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;1;RUB;0.420108534911
01/10/2024;01/09/2024;Spotify;Indonesia;"трэп хаус квэльчиков";ИНФИ;"ОБНИМИ МЕНЯ";"ОБНИМИ МЕНЯ";4680961163493;UK-EX3-22-00210;;"Music Release";Stream;12;RUB;0.098219537694
