"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";Минайо;Близкие;Близкие;3617057439713;FR-96X-23-81866;;"Music Release";Stream;61;RUB;1.983272547388
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";Минайо;Мысли;Мысли;3617054973081;FR-10S-23-01044;;"Music Release";Stream;5;RUB;0.079574873246
01/10/2024;01/10/2024;"YouTube Official Content";Kazakhstan;"трэп хаус квэльчиков";Минайо;Рядом;Рядом;3617052194440;DG-A05-22-08416;;"Music Release";Stream;6;RUB;0.408285749332
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Минайо;"Комната зеркал";"Комната зеркал";3617056303503;FR-59R-23-05731;;"Music Release";Stream;2;RUB;0.008400000000
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Минайо;Рядом;Рядом;3617052194440;DG-A05-22-08416;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/10/2024;"YouTube Official Content";Kazakhstan;"трэп хаус квэльчиков";Минайо;Близкие;Близкие;3617057439713;FR-96X-23-81866;;"Music Release";Stream;3;RUB;0.204142874582
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Минайо;Мысли;Мысли;3617054973081;FR-10S-23-01044;;"Music Release";Stream;16;RUB;0.378206738867
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";Минайо;"Комната зеркал";"Комната зеркал";3617056303503;FR-59R-23-05731;;"Music Release";Stream;7;RUB;0.111404822578
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";Минайо;Близкие;Близкие;3617057439713;FR-96X-23-81866;;"Music Release";Stream;15;RUB;0.227193771322
01/10/2024;01/09/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";Минайо;"Комната зеркал";"Комната зеркал";3617056303503;FR-59R-23-05731;;"Music Release";Stream;1;RUB;0.032512664755
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";Минайо;Рядом;Рядом;3617052194440;DG-A05-22-08416;;"Music Release";Stream;5;RUB;0.079574873246
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Минайо;Близкие;Близкие;3617057439713;FR-96X-23-81866;;"Music Release";Stream;5;RUB;0.021000000042
