"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/11/2024;"UMA VK MUSIC";Kazakhstan;"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;1;RUB;0.090970079211
01/11/2024;01/11/2024;"YouTube Official Content";Netherlands;"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;1;RUB;0.200727575286
01/11/2024;01/10/2024;"UMA VK MUSIC";Kazakhstan;"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;6;RUB;0.501419301646
01/11/2024;01/09/2024;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Creation;6;RUB;0.215773671093
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;3;RUB;0.122071576332
01/10/2024;01/09/2024;"UMA VK MUSIC";Kazakhstan;"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;9;RUB;0.684253819878
01/10/2024;01/09/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;1;RUB;0.050040621212
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;40;RUB;0.624416515912
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;53;RUB;1.118465730664
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;3;RUB;0.012600000000
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;22;RUB;0.315536896734
01/10/2024;01/09/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;1;RUB;0.032512664755
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"PUL$AR!, on1t";Мрак;Мрак;3617051709706;FR-X87-22-31138;;"Music Release";Stream;2;RUB;0.008400000000
