"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;2;RUB;0.227343152750
01/10/2024;01/09/2024;Spotify;Peru;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;1;RUB;0.002353235331
01/11/2024;01/10/2024;Spotify;"United States";"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;2;RUB;0.293321003667
01/10/2024;01/09/2024;Spotify;Turkey;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;3;RUB;0.089703089273
01/11/2024;01/10/2024;Yandex;"Russian Federation";"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;66;RUB;0.865964787062
01/10/2024;01/10/2024;"YouTube Official Content";Lithuania;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;1;RUB;0.171675236884
01/11/2024;01/10/2024;Spotify;Turkey;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;4;RUB;0.096457813930
01/10/2024;01/09/2024;Spotify;Canada;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;1;RUB;0.100404707143
01/10/2024;01/09/2024;Spotify;Switzerland;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;1;RUB;0.222548826418
01/10/2024;01/09/2024;Spotify;Lithuania;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;1;RUB;0.227087208842
01/10/2024;01/09/2024;Spotify;Germany;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;1;RUB;0.304071621642
01/12/2024;01/11/2024;Yandex;Belarus;"DARKI MUZIK";Paskeka;CYB3RLOVE;"Ай лов ит";3617389854062;DG-A06-24-19554;;"Music Release";Stream;3;RUB;0.067859646415
