"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/11/2024;"YouTube Official Content";Indonesia;"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;1;RUB;0.016753960788
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;18;RUB;0.338034280714
01/11/2024;01/11/2024;"Apple Music";Japan;"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;8;RUB;1.301375389570
01/11/2024;01/10/2024;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;666;3617222734162;FR-X87-23-45573;;"Music Release";Stream;1;RUB;0.004200000043
01/10/2024;01/06/2024;Turkcell;Turkey;"трэп хаус квэльчиков";XAGAL;Balance;"battery is low";3617226594618;DG-A08-23-29121;;"Music Release";Stream;2;RUB;0.122779450709
01/12/2024;01/12/2024;"YouTube UGC";Germany;"трэп хаус квэльчиков";XAGAL;Balance;killa;3617226594618;DG-A08-23-29123;;"Music Release";Stream;1;RUB;0.013623107396
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;Puzzle;3617222734162;FR-X87-23-45574;;"Music Release";Stream;15;RUB;0.063000000043
01/10/2024;01/08/2024;"Facebook / Instagram";Australia;"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Creation;6;RUB;1.283161744546
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;Puzzle;3617222734162;FR-X87-23-45574;;"Music Release";Stream;6;RUB;0.025200000000
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;40;RUB;0.277471576375
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;59;RUB;0.938983504702
01/11/2024;01/11/2024;"Apple Music";Canada;"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;7;RUB;1.329352731681
01/11/2024;01/11/2024;"YouTube UGC";"United States";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;1;RUB;0.271199199846
01/11/2024;01/10/2024;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";XAGAL;Balance;"battery is low";3617226594618;DG-A08-23-29121;;"Music Release";Stream;1;RUB;0.004200000043
01/10/2024;01/06/2024;NCT;"Viet Nam";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;3;RUB;0.052498532905
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Balance;"i dont have a time";3617226594618;DG-A08-23-29119;;"Music Release";Stream;5;RUB;0.357631034958
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;666;3617222734162;FR-X87-23-45573;;"Music Release";Stream;7;RUB;0.029400000043
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Balance;killa;3617226594618;DG-A08-23-29123;;"Music Release";Stream;1;RUB;0.004200000043
01/10/2024;01/09/2024;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";XAGAL;Balance;"battery is low";3617226594618;DG-A08-23-29121;;"Music Release";Stream;2;RUB;0.008400000000
01/10/2024;01/10/2024;"Apple Music";Japan;"трэп хаус квэльчиков";XAGAL;Hydrxrgyrum;SCP-096;3617222734162;FR-X87-23-45572;;"Music Release";Stream;2;RUB;0.308406819004
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Balance;killa;3617226594618;DG-A08-23-29123;;"Music Release";Stream;2;RUB;0.008400000000
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";XAGAL;Balance;"battery is low";3617226594618;DG-A08-23-29121;;"Music Release";Stream;4;RUB;0.275726066330
