"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/12/2024;"YouTube Official Content";Austria;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;2;RUB;0.567452193165
01/12/2024;01/12/2024;"YouTube Official Content";Germany;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;12;RUB;2.314961244974
01/12/2024;01/12/2024;"YouTube Official Content";"United States";"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;2;RUB;0.284203900726
01/12/2024;01/12/2024;"YouTube Official Content";"United Kingdom";"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;5;RUB;0.991085338429
01/12/2024;01/12/2024;"YouTube Official Content";Kazakhstan;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;20;RUB;0.267630068094
01/12/2024;01/12/2024;"Apple Music";"Russian Federation";"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;7;RUB;0.656270720024
01/12/2024;01/12/2024;"YouTube Official Content";Finland;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;1;RUB;0.124677029053
01/12/2024;01/12/2024;"YouTube Official Content";Canada;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;3;RUB;0.813524453207
01/12/2024;01/12/2024;"YouTube Official Content";France;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;8;RUB;0.639421448300
01/12/2024;01/12/2024;"YouTube Official Content";Latvia;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;4;RUB;0.439281221002
01/12/2024;01/12/2024;"YouTube Official Content";Azerbaijan;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;1;RUB;0.081376024927
01/12/2024;01/12/2024;"YouTube Official Content";"Czech Republic";"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;2;RUB;0.589670087636
01/12/2024;01/12/2024;"YouTube Official Content";Ukraine;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;75;RUB;1.831956282798
01/12/2024;01/12/2024;"YouTube Official Content";Israel;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;2;RUB;0.467232765623
01/12/2024;01/12/2024;"YouTube Official Content";Belarus;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;15;RUB;0.089319519434
01/12/2024;01/12/2024;"YouTube Official Content";Netherlands;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;11;RUB;2.408431711122
01/12/2024;01/12/2024;"YouTube Official Content";Poland;"Stars Clique";"YELLOW.Eyes, whited0lly.exe";холодно;холодно;3617666689233;DG-A0S-24-08968;;"Music Release";Stream;2;RUB;0.090394578886
