"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/05/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;3;RUB;1.010118569223
01/10/2024;01/08/2024;Tidal;"United Kingdom";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.729472694843
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;9;RUB;0.151900923872
01/10/2024;01/10/2024;"YouTube Official Content";"South Africa";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;2;RUB;0.042432831078
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;10;RUB;0.143655457408
01/11/2024;01/09/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.328616944437
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;13;RUB;0.206894670574
01/11/2024;01/07/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.348189135151
01/11/2024;01/10/2024;"Amazon Music Streaming";France;"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.125864288661
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.004200000000
01/11/2024;01/04/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;4;RUB;1.258639203794
01/11/2024;01/10/2024;"Amazon Music Streaming";"United States";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.145314965357
01/12/2024;01/11/2024;"Amazon Music Streaming";"United States";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.149191918270
01/11/2024;01/10/2024;Yandex;Belarus;"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.013120678551
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.216137796682
01/11/2024;01/06/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;1;RUB;0.377626560654
01/11/2024;01/03/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Yuppe, Clout Chazer, Xtaozii, Воздух";"СО МНОЙ";"СО МНОЙ";3617226212017;DG-A07-23-72413;;"Music Release";Stream;5;RUB;1.735562620966
