"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/11/2024;"YouTube Official Content";Japan;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.676107444822
01/11/2024;01/11/2024;"Apple Music";Japan;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.295056037656
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;10;RUB;0.168778804274
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"Дьявольские Ритмы";"Дьявольские Ритмы";3617054048154;DG-A08-22-00996;;"Music Release";Stream;5;RUB;0.079574873246
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"Дьявольские Ритмы";"Дьявольские Ритмы";3617054048154;DG-A08-22-00996;;"Music Release";Stream;2;RUB;0.008400000000
01/11/2024;01/10/2024;"Amazon Music Streaming";Japan;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;2;RUB;0.280394490148
01/10/2024;01/01/2023;"JOOX / MALAYSIA";Malaysia;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.087730346630
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;3;RUB;0.012600000043
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.015914974666
01/12/2024;01/12/2024;"Apple Music";Japan;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.315549727798
01/12/2024;01/11/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"Дьявольские Ритмы";"Дьявольские Ритмы";3617054048154;DG-A08-22-00996;;"Music Release";Stream;1;RUB;0.004200000000
01/10/2024;01/08/2024;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";asiminatsuki;"Дьявольские Ритмы";"Дьявольские Ритмы";3617054048154;DG-A08-22-00996;;"Music Release";Creation;6;RUB;0.222784125747
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;4;RUB;0.052482714378
01/11/2024;01/06/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"Дьявольские Ритмы";"Дьявольские Ритмы";3617054048154;DG-A08-22-00996;;"Music Release";Stream;5;RUB;1.888132803445
01/10/2024;01/01/2023;"JOOX / THAILAND";Thailand;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.019899183532
01/12/2024;01/11/2024;"Line Music";Japan;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.177083792852
01/11/2024;01/11/2024;"YouTube Official Content";Netherlands;"трэп хаус квэльчиков";asiminatsuki;"CHAINSAW BLOOD";"CHAINSAW BLOOD";3617053537611;DG-A07-22-08160;;"Music Release";Stream;1;RUB;0.160006142835
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"Дьявольские Ритмы";"Дьявольские Ритмы";3617054048154;DG-A08-22-00996;;"Music Release";Stream;1;RUB;0.004200000000
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";asiminatsuki;"Дьявольские Ритмы";"Дьявольские Ритмы";3617054048154;DG-A08-22-00996;;"Music Release";Stream;5;RUB;0.021000000042
