"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;Spotify;Taiwan;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;1;RUB;0.052051324230
01/12/2024;01/11/2024;Spotify;Latvia;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;4;RUB;0.019744937074
01/11/2024;01/09/2024;TikTok;Italy;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Creation;4;RUB;0.522216173547
01/10/2024;01/09/2024;Spotify;"Hong Kong";thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;5;RUB;0.567297801553
01/11/2024;01/10/2024;Spotify;"Hong Kong";thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;1;RUB;0.005721104073
01/11/2024;01/10/2024;Spotify;Canada;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;22;RUB;1.928183714205
01/10/2024;01/09/2024;Spotify;Turkey;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;44;RUB;1.472060793902
01/10/2024;01/09/2024;"UMA (Vkontakte)";Belarus;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;10;RUB;0.106497076168
01/12/2024;01/12/2024;"YouTube UGC";"Korea, Republic Of";thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;1;RUB;0.005090889825
01/12/2024;01/11/2024;Spotify;Thailand;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;3;RUB;0.007759013332
01/10/2024;01/09/2024;Spotify;Philippines;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;6;RUB;0.142594854861
01/12/2024;01/11/2024;Spotify;Qatar;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;1;RUB;0.002779345985
01/10/2024;01/09/2024;Spotify;Chile;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;6;RUB;0.691066785029
01/10/2024;01/09/2024;Spotify;Ukraine;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;18;RUB;0.624111631433
01/11/2024;01/10/2024;Spotify;Turkey;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;15;RUB;0.466842088818
01/11/2024;01/10/2024;Spotify;Indonesia;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;18;RUB;0.124434001294
01/11/2024;01/10/2024;Spotify;Qatar;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;1;RUB;0.003089396184
01/10/2024;01/09/2024;Spotify;Malaysia;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;6;RUB;0.226358820903
01/12/2024;01/11/2024;Spotify;Italy;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;6;RUB;0.203181760021
01/11/2024;01/10/2024;Spotify;Argentina;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;1;RUB;0.002116808525
01/10/2024;01/09/2024;Yandex;Georgia;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;4;RUB;0.017536504332
01/10/2024;01/09/2024;Spotify;Kazakhstan;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;6;RUB;0.088470442334
01/11/2024;01/10/2024;Spotify;Thailand;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;12;RUB;0.026259867478
01/12/2024;01/11/2024;Spotify;Mexico;thqlabel;"athysue, may";stay;stay;3617663297158;DG-A0H-24-58584;;"Music Release";Stream;13;RUB;0.244350845442
