"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;1;RUB;0.004200000043
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;2;RUB;0.112068912984
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;1;RUB;0.004200000043
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;4;RUB;0.063659898580
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;7;RUB;0.111404822578
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;2;RUB;0.008400000000
01/10/2024;01/10/2024;"YouTube Official Content";Ukraine;"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;1;RUB;0.199695345952
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;1;RUB;0.107868912942
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;4;RUB;0.052482714378
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;2;RUB;0.008400000000
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"She Does Not Now";3617226648199;DG-A08-23-36927;;"Music Release";Stream;1;RUB;0.016877880402
01/11/2024;01/11/2024;"Apple Music";Ukraine;"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;1;RUB;0.223300663426
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;1;RUB;0.004200000000
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"She Does Not Now";3617226648199;DG-A08-23-36927;;"Music Release";Stream;4;RUB;0.063659898580
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"CHROME H4RTS";3617226648199;DG-A08-23-36928;;"Music Release";Stream;2;RUB;0.033755760802
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;3;RUB;0.012600000043
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;4;RUB;0.063659898580
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;7;RUB;0.091844750204
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;4;RUB;0.052482714378
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;4;RUB;0.124440112216
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;5;RUB;0.084389402180
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;6;RUB;0.095489847912
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"NEW ERA";3617226648199;DG-A08-23-36926;;"Music Release";Stream;6;RUB;0.101267282582
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"She Does Not Now";3617226648199;DG-A08-23-36927;;"Music Release";Stream;2;RUB;0.026241357189
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;"4CK 0PPS";3617226648199;DG-A08-23-36924;;"Music Release";Stream;8;RUB;0.135023043470
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"kiddxguarden, QWY1NX";ShutTha4cKCupX;krank;3617226648199;DG-A08-23-36925;;"Music Release";Stream;1;RUB;0.107868912942
