"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;Spotify;Slovakia;"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;1;RUB;0.007788088301
01/10/2024;01/10/2024;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;4;RUB;0.202518400010
01/11/2024;01/09/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;2;RUB;0.657233888874
01/10/2024;01/09/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;1;RUB;0.004517369882
01/11/2024;01/10/2024;Spotify;Italy;"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;6;RUB;1.358132885657
01/10/2024;01/09/2024;Spotify;Italy;"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;3;RUB;0.386210740376
01/10/2024;01/09/2024;Spotify;"United Kingdom";"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;44;RUB;3.999211353604
01/11/2024;01/10/2024;Spotify;"United Kingdom";"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;22;RUB;3.789487676420
01/10/2024;01/09/2024;Yandex;Kazakhstan;"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;2;RUB;0.031829949332
01/10/2024;01/09/2024;Spotify;France;"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;1;RUB;0.304519856915
01/10/2024;01/09/2024;Spotify;Turkey;"трэп хаус квэльчиков";"лил чича, иса, ИНФИ";"Снова вижу тебя";"Снова вижу тебя";4680961263599;UK-EX3-22-18741;;"Music Release";Stream;1;RUB;0.048913677066
