"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;7;RUB;0.118145163070
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;5;RUB;0.079574873246
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;1;RUB;0.004200000000
01/11/2024;01/04/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;1;RUB;0.314659800970
01/11/2024;01/09/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;3;RUB;0.985850833311
01/10/2024;01/09/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;5;RUB;0.228337825926
01/11/2024;01/07/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;2;RUB;0.696378270217
01/11/2024;01/06/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;1;RUB;0.377626560654
01/11/2024;01/08/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;1;RUB;0.309172966926
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;15;RUB;0.196810178874
01/11/2024;01/10/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;1;RUB;0.004200000043
01/11/2024;01/05/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тенда";Lifespan;слова;3617055072783;FR-10S-23-20577;;"Music Release";Stream;1;RUB;0.336706189713
