"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;8;RUB;0.115788948661
01/12/2024;01/10/2024;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Creation;6;RUB;0.200177692795
01/10/2024;01/09/2024;"Amazon Music Streaming";Mexico;"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;1;RUB;0.026051826982
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;5;RUB;0.021000000043
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;74;RUB;1.008276230379
01/11/2024;01/10/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;1;RUB;0.113671576332
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;3;RUB;0.063235740854
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;20;RUB;0.337557608634
01/11/2024;01/10/2024;Yandex;Kazakhstan;"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;3;RUB;0.039362035826
01/10/2024;01/09/2024;"UMA VK MUSIC";Kazakhstan;"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;24;RUB;1.824676853010
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;27;RUB;0.348203593955
01/11/2024;01/10/2024;Yandex;Belarus;"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;3;RUB;0.039362035826
01/11/2024;01/10/2024;"UMA VK MUSIC";Kazakhstan;"трэп хаус квэльчиков";"on1t, fumiko!";"love n' hate";tired;3616849729599;FR-X45-22-01145;;"Music Release";Stream;1;RUB;0.083569883622
