"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/10/2024;Spotify;Chile;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;2;RUB;0.005835526126
01/10/2024;01/09/2024;Spotify;Turkey;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;4;RUB;0.097379118945
01/10/2024;01/09/2024;Spotify;Kazakhstan;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;16;RUB;1.129384867814
01/10/2024;01/09/2024;Spotify;Nigeria;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;3;RUB;0.040117064970
01/12/2024;01/11/2024;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;4;RUB;0.016800000000
01/10/2024;01/09/2024;Spotify;Poland;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;1;RUB;0.007451911825
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;87;RUB;2.443274887512
01/10/2024;01/09/2024;Spotify;Egypt;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;13;RUB;0.511156307816
01/10/2024;01/10/2024;"YouTube Official Content";Latvia;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;1;RUB;0.392009759539
01/11/2024;01/10/2024;Spotify;Poland;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;2;RUB;0.018994065398
01/10/2024;01/09/2024;Spotify;India;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;6;RUB;0.142931025622
01/10/2024;01/10/2024;"Apple Music";Turkey;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;2;RUB;0.044646753702
01/10/2024;01/09/2024;Yandex;Belarus;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;18;RUB;0.286469543819
01/11/2024;01/10/2024;NetEase;"China Mainland";"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;4;RUB;0.108778527495
01/12/2024;01/11/2024;Spotify;Germany;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;21;RUB;2.073855277718
01/10/2024;01/09/2024;Spotify;"United States";"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;20;RUB;2.739894283844
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;142;RUB;4.153668092414
01/11/2024;01/10/2024;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;1;RUB;0.004200000043
01/12/2024;01/11/2024;Spotify;India;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;3;RUB;0.075679274765
01/10/2024;01/09/2024;Spotify;Pakistan;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;1;RUB;0.018265588493
01/11/2024;01/10/2024;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;2;RUB;0.008400000000
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;474;RUB;6.517969769486
01/11/2024;01/10/2024;Spotify;Germany;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;22;RUB;2.108055179105
01/12/2024;01/11/2024;Spotify;Poland;"трэп хаус квэльчиков";"on1t, t1de, setinai";глаза;"глаза Remix";4680961228963;UK-EX3-22-12220;;"Music Release";Stream;9;RUB;0.520490431754
