"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;41;RUB;0.890058312937
01/11/2024;01/10/2024;NetEase;"China Mainland";thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;15;RUB;0.568217004594
01/11/2024;01/10/2024;Yandex;Kazakhstan;thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;2;RUB;0.038690028652
01/12/2024;01/11/2024;NetEase;"China Mainland";thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;2;RUB;0.076879052070
01/11/2024;01/10/2024;Yandex;Belarus;thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;1;RUB;0.013120678551
01/11/2024;01/10/2024;Yandex;"Russian Federation";thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;155;RUB;2.307575955573
01/12/2024;01/11/2024;Yandex;Belarus;thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;1;RUB;0.016877880402
01/12/2024;01/11/2024;"UMA VK MUSIC";"Russian Federation";thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;4;RUB;0.447360448864
01/11/2024;01/11/2024;"YouTube Official Content";Kazakhstan;thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;1;RUB;0.023298476734
01/10/2024;01/10/2024;"Apple Music";Ukraine;thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;2;RUB;0.430497449324
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;18;RUB;0.075600000000
01/12/2024;01/11/2024;"UMA (Vkontakte)";Kazakhstan;thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;1;RUB;0.004200000000
01/12/2024;01/11/2024;Yandex;"Russian Federation";thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;58;RUB;0.978917065098
01/12/2024;01/11/2024;Yandex;Kazakhstan;thqlabel;onq;"Когда все мертвы";"Когда все мертвы";3617664820867;DG-A0P-24-62767;;"Music Release";Stream;1;RUB;0.016877880402
