"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/11/2024;Yandex;"Russian Federation";"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;282;RUB;4.862918313198
01/12/2024;01/11/2024;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;3;RUB;0.376550124202
01/12/2024;01/11/2024;"Facebook / Instagram";France;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;2;RUB;0.003347189560
01/12/2024;01/11/2024;"Facebook / Instagram";Netherlands;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;2;RUB;0.003347189560
01/12/2024;01/11/2024;Yandex;Belarus;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;6;RUB;0.101267282582
01/12/2024;01/11/2024;"UMA (Vkontakte)";Ukraine;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;1;RUB;0.004200000000
01/12/2024;01/11/2024;"Facebook / Instagram";Germany;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;3;RUB;0.005020784297
01/12/2024;01/11/2024;"Facebook / Instagram";"United States";"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;6;RUB;0.010041568594
01/12/2024;01/11/2024;"Facebook / Instagram";Kyrgyzstan;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;1;RUB;0.001673594823
01/12/2024;01/12/2024;"Apple Music";"United Kingdom";"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;1;RUB;0.789485215703
01/12/2024;01/11/2024;"Facebook / Instagram";Ukraine;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;1;RUB;0.001673594823
01/12/2024;01/11/2024;"Facebook / Instagram";Sweden;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;4;RUB;0.006694379034
01/12/2024;01/11/2024;"Facebook / Instagram";Canada;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;3;RUB;0.005020784297
01/12/2024;01/11/2024;"Facebook / Instagram";Kazakhstan;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;1;RUB;0.001673594823
01/12/2024;01/11/2024;"Facebook / Instagram";"Russian Federation";"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;47;RUB;0.078658953837
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;17;RUB;0.811548785947
01/12/2024;01/11/2024;Yandex;Kazakhstan;"DARKI MUZIK";romanastasi;РЕКУ;РЕКУ;3617666229101;DG-A0R-24-60333;;"Music Release";Stream;7;RUB;0.135371168194
