"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/10/2024;01/09/2024;Yandex;Kazakhstan;"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;8;RUB;0.115788948661
01/10/2024;01/09/2024;"UMA (Vkontakte)";Uzbekistan;"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;"UMA (Vkontakte)";Ukraine;"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;15;RUB;0.063000000042
01/11/2024;01/10/2024;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;23;RUB;2.532124731882
01/11/2024;01/10/2024;"UMA (Vkontakte)";Kazakhstan;"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;1;RUB;0.004200000043
01/12/2024;01/12/2024;"Apple Music";Turkey;"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;1;RUB;0.023038772918
01/10/2024;01/09/2024;Yandex;"Russian Federation";"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;506;RUB;7.937668690351
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Moldova, Republic Of";"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;1;RUB;0.004200000042
01/10/2024;01/09/2024;"UMA (Vkontakte)";Kazakhstan;"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;16;RUB;0.210856404446
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";s6yxt1boyyy;"Я не скуф";"Я не скуф";3617662157224;DG-A09-24-71777;;"Music Release";Stream;179;RUB;2.732911740305
