"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/12/2024;"YouTube Official Content";Kazakhstan;"DARKI MUZIK";"тёма дарки";"lvl up";"lvl up";4631165103259;AE-A2Z-23-32096;;"Music Release";Stream;7;RUB;0.240484817996
01/12/2024;01/12/2024;"YouTube Official Content";Azerbaijan;"DARKI MUZIK";"тёма дарки";"lvl up";"lvl up";4631165103259;AE-A2Z-23-32096;;"Music Release";Stream;4;RUB;0.066384918747
01/12/2024;01/12/2024;"YouTube UGC";"United States";"DARKI MUZIK";"тёма дарки";"It's Coming Fucking";"Всё запомнил";3617665488677;DG-A0Q-24-65110;;"Music Release";Stream;12;RUB;0.248059993746
01/12/2024;01/12/2024;"YouTube UGC";"Moldova, Republic Of";"DARKI MUZIK";"тёма дарки";"It's Coming Fucking";"Всё запомнил";3617665488677;DG-A0Q-24-65110;;"Music Release";Stream;3;RUB;0.012855207799
01/12/2024;01/12/2024;"YouTube Official Content";Austria;"DARKI MUZIK";"тёма дарки";"lvl up";"lvl up";4631165103259;AE-A2Z-23-32096;;"Music Release";Stream;1;RUB;0.321079183741
01/12/2024;01/12/2024;"YouTube UGC";Germany;"DARKI MUZIK";"тёма дарки";"It's Coming Fucking";"Всё запомнил";3617665488677;DG-A0Q-24-65110;;"Music Release";Stream;7;RUB;0.062057662396
01/11/2024;01/11/2024;"YouTube Official Content";Kazakhstan;"DARKI MUZIK";"тёма дарки";"It's Coming Fucking";"Losses week Remix";3617665488677;DG-A0Q-24-65115;;"Music Release";Stream;3;RUB;0.039557963015
01/12/2024;01/12/2024;"YouTube UGC";Denmark;"DARKI MUZIK";"тёма дарки";"It's Coming Fucking";"Всё запомнил";3617665488677;DG-A0Q-24-65110;;"Music Release";Stream;1;RUB;0.010466186824
01/11/2024;01/11/2024;"YouTube Official Content";Ukraine;"DARKI MUZIK";"тёма дарки";"It's Coming Fucking";"Losses week Remix";3617665488677;DG-A0Q-24-65115;;"Music Release";Stream;2;RUB;0.015765011687
01/12/2024;01/12/2024;"YouTube UGC";"Czech Republic";"DARKI MUZIK";"тёма дарки";"It's Coming Fucking";"Всё запомнил";3617665488677;DG-A0Q-24-65110;;"Music Release";Stream;1;RUB;0.007167062753
