"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/12/2024;"YouTube Official Content";Ukraine;"трэп хаус квэльчиков";ukrxp;"loud emptiness";записка;3617224898084;DG-A06-23-43768;;"Music Release";Stream;1;RUB;0.080190740696
01/12/2024;01/11/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";ukrxp;чайнатаун;чайнатаун;3616849728929;FR-X45-22-01048;;"Music Release";Stream;3;RUB;0.131771695922
01/12/2024;01/12/2024;"YouTube Official Content";Turkey;"трэп хаус квэльчиков";ukrxp;"loud emptiness";прощание;3617224898084;DG-A06-23-43771;;"Music Release";Stream;1;RUB;0.001761902983
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"не любила";3617224898084;DG-A06-23-43767;;"Music Release";Stream;6;RUB;0.101267282582
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"fxck feelings";3617224898084;DG-A06-23-43769;;"Music Release";Stream;1;RUB;0.004384126083
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"night reflections";3617224898084;DG-A06-23-43766;;"Music Release";Stream;2;RUB;0.026241357189
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"не любила";3617224898084;DG-A06-23-43767;;"Music Release";Stream;4;RUB;0.029067352915
01/12/2024;01/11/2024;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";ukrxp;чайнатаун;чайнатаун;3616849728929;FR-X45-22-01048;;"Music Release";Stream;1;RUB;0.004200000000
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"night reflections";3617224898084;DG-A06-23-43766;;"Music Release";Stream;2;RUB;0.033755760802
01/11/2024;01/10/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";прощание;3617224898084;DG-A06-23-43771;;"Music Release";Stream;7;RUB;0.091844750204
01/11/2024;01/10/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"девочки с рожками";3617224898084;DG-A06-23-43765;;"Music Release";Stream;1;RUB;0.004200000043
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"night reflections";3617224898084;DG-A06-23-43766;;"Music Release";Stream;3;RUB;0.013152378249
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";прощание;3617224898084;DG-A06-23-43771;;"Music Release";Stream;6;RUB;0.101267282582
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"сын хикирея Intro";3617224898084;DG-A06-23-43764;;"Music Release";Stream;13;RUB;0.160771276242
01/10/2024;01/09/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";прощание;3617224898084;DG-A06-23-43771;;"Music Release";Stream;3;RUB;0.036214075415
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";записка;3617224898084;DG-A06-23-43768;;"Music Release";Stream;4;RUB;0.067511521778
01/10/2024;01/09/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";ukrxp;чайнатаун;чайнатаун;3616849728929;FR-X45-22-01048;;"Music Release";Stream;1;RUB;0.032512664755
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"fxck feelings";3617224898084;DG-A06-23-43769;;"Music Release";Stream;5;RUB;0.084389402180
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;чайнатаун;чайнатаун;3616849728929;FR-X45-22-01048;;"Music Release";Stream;4;RUB;0.067511521778
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";химия;3617224898084;DG-A06-23-43772;;"Music Release";Stream;2;RUB;0.033755760802
01/11/2024;01/10/2024;Yandex;Belarus;"трэп хаус квэльчиков";ukrxp;"loud emptiness";"сын хикирея Intro";3617224898084;DG-A06-23-43764;;"Music Release";Stream;1;RUB;0.013120678551
01/12/2024;01/11/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";ukrxp;"loud emptiness";"верха Outro";3617224898084;DG-A06-23-43773;;"Music Release";Stream;4;RUB;0.067511521778
01/11/2024;01/10/2024;Yandex;Kazakhstan;"трэп хаус квэльчиков";ukrxp;чайнатаун;чайнатаун;3616849728929;FR-X45-22-01048;;"Music Release";Stream;1;RUB;0.025569350101
