"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/11/2024;01/09/2024;TikTok;Belarus;"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Creation;1;RUB;0.130554043386
01/10/2024;01/10/2024;"Apple Music";"Russian Federation";"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;1;RUB;0.069457359985
01/12/2024;01/11/2024;Yandex;Kazakhstan;"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;2;RUB;0.033755760802
01/10/2024;01/08/2024;TikTok;"United States";"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Creation;8;RUB;1.009607016675
01/10/2024;01/09/2024;Yandex;"Russian Federation";"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;1780;RUB;27.625273125443
01/10/2024;01/09/2024;"Amazon Music Streaming";Canada;"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;1;RUB;0.546934214760
01/12/2024;01/11/2024;"Line Music";Japan;"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;1;RUB;0.177083792852
01/10/2024;01/09/2024;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;13;RUB;1.311130812276
01/12/2024;01/11/2024;"UMA (Vkontakte)";Ukraine;"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;42;RUB;0.176400000000
01/10/2024;01/09/2024;Yandex;Uzbekistan;"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;2;RUB;0.031829949332
01/10/2024;01/09/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;680;RUB;21.701302195463
01/11/2024;01/11/2024;"YouTube Official Content";"Moldova, Republic Of";"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;2;RUB;0.133129997372
01/11/2024;01/10/2024;Yandex;"Russian Federation";"DARKI MUZIK";"wheremycurly, hayase";TRANSGENDER;TRANSGENDER;3617662466913;DG-A0M-24-26700;;"Music Release";Stream;457;RUB;6.095739488898
